dataset,noise_rate,seed,p_grd,dexp,gain
CiteSeer,0.1,0,0.0,0,0.017000019550323486
CiteSeer,0.1,0,0.0,1,0.008000016212463379
CiteSeer,0.1,0,0.0,2,-0.009999990463256836
CiteSeer,0.1,0,0.0,3,-0.003000020980834961
CiteSeer,0.1,0,0.0,4,0.001999974250793457
CiteSeer,0.1,0,0.0,5,-0.0009999871253967285
CiteSeer,0.1,0,0.0,6,0.006999969482421875
CiteSeer,0.1,0,0.0,7,0.0
CiteSeer,0.1,0,0.0,8,0.001999974250793457
CiteSeer,0.1,0,0.0,9,0.001999974250793457
CiteSeer,0.1,0,0.0,10,0.008000016212463379
CiteSeer,0.1,0,0.1,0,0.013999998569488525
CiteSeer,0.1,0,0.1,1,0.011999964714050293
CiteSeer,0.1,0,0.1,2,-0.016000032424926758
CiteSeer,0.1,0,0.1,3,-0.009999990463256836
CiteSeer,0.1,0,0.1,4,-0.009000003337860107
CiteSeer,0.1,0,0.1,5,-0.03799998760223389
CiteSeer,0.1,0,0.1,6,-0.003000020980834961
CiteSeer,0.1,0,0.1,7,-0.00700002908706665
CiteSeer,0.1,0,0.1,8,-0.018999993801116943
CiteSeer,0.1,0,0.1,9,-0.014999985694885254
CiteSeer,0.1,0,0.1,10,-0.008000016212463379
CiteSeer,0.1,0,0.2,0,0.0040000081062316895
CiteSeer,0.1,0,0.2,1,-0.0009999871253967285
CiteSeer,0.1,0,0.2,2,-0.018999993801116943
CiteSeer,0.1,0,0.2,3,-0.013999998569488525
CiteSeer,0.1,0,0.2,4,-0.0059999823570251465
CiteSeer,0.1,0,0.2,5,-0.009000003337860107
CiteSeer,0.1,0,0.2,6,-0.0009999871253967285
CiteSeer,0.1,0,0.2,7,-0.012000024318695068
CiteSeer,0.1,0,0.2,8,0.0040000081062316895
CiteSeer,0.1,0,0.2,9,-0.0059999823570251465
CiteSeer,0.1,0,0.2,10,-0.009000003337860107
CiteSeer,0.1,0,0.3,0,-0.019999980926513672
CiteSeer,0.1,0,0.3,1,-0.0020000338554382324
CiteSeer,0.1,0,0.3,2,-0.018999993801116943
CiteSeer,0.1,0,0.3,3,-0.008000016212463379
CiteSeer,0.1,0,0.3,4,-0.008000016212463379
CiteSeer,0.1,0,0.3,5,-0.0059999823570251465
CiteSeer,0.1,0,0.3,6,-0.004999995231628418
CiteSeer,0.1,0,0.3,7,-0.008000016212463379
CiteSeer,0.1,0,0.3,8,0.0009999871253967285
CiteSeer,0.1,0,0.3,9,0.0009999871253967285
CiteSeer,0.1,0,0.3,10,0.0
CiteSeer,0.1,0,0.4,0,-0.014999985694885254
CiteSeer,0.1,0,0.4,1,-0.03600001335144043
CiteSeer,0.1,0,0.4,2,-0.03100001811981201
CiteSeer,0.1,0,0.4,3,-0.013000011444091797
CiteSeer,0.1,0,0.4,4,-0.004999995231628418
CiteSeer,0.1,0,0.4,5,0.0
CiteSeer,0.1,0,0.4,6,0.0
CiteSeer,0.1,0,0.4,7,0.0
CiteSeer,0.1,0,0.4,8,0.0
CiteSeer,0.1,0,0.4,9,0.0
CiteSeer,0.1,0,0.4,10,0.0
CiteSeer,0.1,0,0.5,0,-0.022000014781951904
CiteSeer,0.1,0,0.5,1,-0.018000006675720215
CiteSeer,0.1,0,0.5,2,-0.008000016212463379
CiteSeer,0.1,0,0.5,3,-0.013999998569488525
CiteSeer,0.1,0,0.5,4,0.0
CiteSeer,0.1,0,0.5,5,-0.003000020980834961
CiteSeer,0.1,0,0.5,6,-0.003000020980834961
CiteSeer,0.1,0,0.5,7,-0.003000020980834961
CiteSeer,0.1,0,0.5,8,-0.003000020980834961
CiteSeer,0.1,0,0.5,9,-0.003000020980834961
CiteSeer,0.1,0,0.5,10,-0.003000020980834961
CiteSeer,0.1,0,0.6,0,-0.014999985694885254
CiteSeer,0.1,0,0.6,1,-0.016000032424926758
CiteSeer,0.1,0,0.6,2,-0.009999990463256836
CiteSeer,0.1,0,0.6,3,0.003000020980834961
CiteSeer,0.1,0,0.6,4,-0.003000020980834961
CiteSeer,0.1,0,0.6,5,-0.003000020980834961
CiteSeer,0.1,0,0.6,6,-0.003000020980834961
CiteSeer,0.1,0,0.6,7,-0.003000020980834961
CiteSeer,0.1,0,0.6,8,-0.003000020980834961
CiteSeer,0.1,0,0.6,9,-0.003000020980834961
CiteSeer,0.1,0,0.6,10,-0.003000020980834961
CiteSeer,0.1,0,0.7,0,0.0
CiteSeer,0.1,0,0.7,1,-0.009999990463256836
CiteSeer,0.1,0,0.7,2,0.0009999871253967285
CiteSeer,0.1,0,0.7,3,-0.003000020980834961
CiteSeer,0.1,0,0.7,4,-0.003000020980834961
CiteSeer,0.1,0,0.7,5,-0.003000020980834961
CiteSeer,0.1,0,0.7,6,-0.003000020980834961
CiteSeer,0.1,0,0.7,7,-0.003000020980834961
CiteSeer,0.1,0,0.7,8,-0.003000020980834961
CiteSeer,0.1,0,0.7,9,-0.003000020980834961
CiteSeer,0.1,0,0.7,10,-0.003000020980834961
CiteSeer,0.1,0,0.8,0,-0.013999998569488525
CiteSeer,0.1,0,0.8,1,-0.017000019550323486
CiteSeer,0.1,0,0.8,2,0.003000020980834961
CiteSeer,0.1,0,0.8,3,-0.003000020980834961
CiteSeer,0.1,0,0.8,4,-0.003000020980834961
CiteSeer,0.1,0,0.8,5,-0.003000020980834961
CiteSeer,0.1,0,0.8,6,-0.003000020980834961
CiteSeer,0.1,0,0.8,7,-0.003000020980834961
CiteSeer,0.1,0,0.8,8,-0.003000020980834961
CiteSeer,0.1,0,0.8,9,-0.003000020980834961
CiteSeer,0.1,0,0.8,10,-0.003000020980834961
CiteSeer,0.1,0,0.9,0,-0.003000020980834961
CiteSeer,0.1,0,0.9,1,-0.004999995231628418
CiteSeer,0.1,0,0.9,2,-0.003000020980834961
CiteSeer,0.1,0,0.9,3,-0.003000020980834961
CiteSeer,0.1,0,0.9,4,-0.003000020980834961
CiteSeer,0.1,0,0.9,5,-0.003000020980834961
CiteSeer,0.1,0,0.9,6,-0.003000020980834961
CiteSeer,0.1,0,0.9,7,-0.003000020980834961
CiteSeer,0.1,0,0.9,8,-0.003000020980834961
CiteSeer,0.1,0,0.9,9,-0.003000020980834961
CiteSeer,0.1,0,0.9,10,-0.003000020980834961
CiteSeer,0.1,1,0.0,0,0.016000032424926758
CiteSeer,0.1,1,0.0,1,0.04000002145767212
CiteSeer,0.1,1,0.0,2,0.02399998903274536
CiteSeer,0.1,1,0.0,3,0.00700002908706665
CiteSeer,0.1,1,0.0,4,0.017000019550323486
CiteSeer,0.1,1,0.0,5,0.06400001049041748
CiteSeer,0.1,1,0.0,6,0.016000032424926758
CiteSeer,0.1,1,0.0,7,0.02399998903274536
CiteSeer,0.1,1,0.0,8,0.027000010013580322
CiteSeer,0.1,1,0.0,9,0.022000014781951904
CiteSeer,0.1,1,0.0,10,0.06200003623962402
CiteSeer,0.1,1,0.1,0,0.046000003814697266
CiteSeer,0.1,1,0.1,1,0.013999998569488525
CiteSeer,0.1,1,0.1,2,0.023000001907348633
CiteSeer,0.1,1,0.1,3,0.04400002956390381
CiteSeer,0.1,1,0.1,4,0.029000043869018555
CiteSeer,0.1,1,0.1,5,0.01500004529953003
CiteSeer,0.1,1,0.1,6,0.021000027656555176
CiteSeer,0.1,1,0.1,7,0.025000035762786865
CiteSeer,0.1,1,0.1,8,0.00700002908706665
CiteSeer,0.1,1,0.1,9,0.025000035762786865
CiteSeer,0.1,1,0.1,10,0.013000011444091797
CiteSeer,0.1,1,0.2,0,0.046000003814697266
CiteSeer,0.1,1,0.2,1,0.006000041961669922
CiteSeer,0.1,1,0.2,2,0.013000011444091797
CiteSeer,0.1,1,0.2,3,0.025000035762786865
CiteSeer,0.1,1,0.2,4,0.012000024318695068
CiteSeer,0.1,1,0.2,5,0.018999993801116943
CiteSeer,0.1,1,0.2,6,0.006000041961669922
CiteSeer,0.1,1,0.2,7,0.017000019550323486
CiteSeer,0.1,1,0.2,8,0.021000027656555176
