dataset,noise_rate,seed,p_grd,dexp,gain
Cora,0.1,0,0.0,0,0.0020000338554382324
Cora,0.1,0,0.0,1,0.010000050067901611
Cora,0.1,0,0.0,2,0.003000020980834961
Cora,0.1,0,0.0,3,0.026000022888183594
Cora,0.1,0,0.0,4,0.0020000338554382324
Cora,0.1,0,0.0,5,0.04900002479553223
Cora,0.1,0,0.0,6,-0.0040000081062316895
Cora,0.1,0,0.0,7,-0.013999998569488525
Cora,0.1,0,0.0,8,-0.004999995231628418
Cora,0.1,0,0.0,9,0.01100003719329834
Cora,0.1,0,0.0,10,0.03100001811981201
Cora,0.1,0,0.1,0,-0.001999974250793457
Cora,0.1,0,0.1,1,0.04400002956390381
Cora,0.1,0,0.1,2,0.020000040531158447
Cora,0.1,0,0.1,3,0.009000003337860107
Cora,0.1,0,0.1,4,0.013000011444091797
Cora,0.1,0,0.1,5,0.018999993801116943
Cora,0.1,0,0.1,6,0.018999993801116943
Cora,0.1,0,0.1,7,0.012000024318695068
Cora,0.1,0,0.1,8,0.027000010013580322
Cora,0.1,0,0.1,9,0.03600001335144043
Cora,0.1,0,0.1,10,0.0020000338554382324
Cora,0.1,0,0.2,0,0.02799999713897705
Cora,0.1,0,0.2,1,0.023000001907348633
Cora,0.1,0,0.2,2,-0.013999998569488525
Cora,0.1,0,0.2,3,0.024000048637390137
Cora,0.1,0,0.2,4,0.00700002908706665
Cora,0.1,0,0.2,5,0.013000011444091797
Cora,0.1,0,0.2,6,0.020000040531158447
Cora,0.1,0,0.2,7,-0.007999956607818604
Cora,0.1,0,0.2,8,0.010000050067901611
Cora,0.1,0,0.2,9,-0.015999972820281982
Cora,0.1,0,0.2,10,-0.018999993801116943
Cora,0.1,0,0.3,0,0.020000040531158447
Cora,0.1,0,0.3,1,0.013999998569488525
Cora,0.1,0,0.3,2,0.012000024318695068
Cora,0.1,0,0.3,3,0.004999995231628418
Cora,0.1,0,0.3,4,0.004999995231628418
Cora,0.1,0,0.3,5,-0.0029999613761901855
Cora,0.1,0,0.3,6,-0.007999956607818604
Cora,0.1,0,0.3,7,0.001000046730041504
Cora,0.1,0,0.3,8,-0.012999951839447021
Cora,0.1,0,0.3,9,-0.012999951839447021
Cora,0.1,0,0.3,10,-0.012999951839447021
Cora,0.1,0,0.4,0,0.009000003337860107
Cora,0.1,0,0.4,1,0.016000032424926758
Cora,0.1,0,0.4,2,0.022000014781951904
Cora,0.1,0,0.4,3,-0.0040000081062316895
Cora,0.1,0,0.4,4,-0.004999995231628418
Cora,0.1,0,0.4,5,-0.007999956607818604
Cora,0.1,0,0.4,6,-0.012999951839447021
Cora,0.1,0,0.4,7,-0.004999995231628418
Cora,0.1,0,0.4,8,-0.004999995231628418
Cora,0.1,0,0.4,9,-0.004999995231628418
Cora,0.1,0,0.4,10,-0.004999995231628418
Cora,0.1,0,0.5,0,0.01500004529953003
Cora,0.1,0,0.5,1,0.009000003337860107
Cora,0.1,0,0.5,2,0.004999995231628418
Cora,0.1,0,0.5,3,-0.004999995231628418
Cora,0.1,0,0.5,4,-0.007999956607818604
Cora,0.1,0,0.5,5,-0.004999995231628418
Cora,0.1,0,0.5,6,-0.004999995231628418
Cora,0.1,0,0.5,7,-0.004999995231628418
Cora,0.1,0,0.5,8,-0.004999995231628418
Cora,0.1,0,0.5,9,-0.004999995231628418
Cora,0.1,0,0.5,10,-0.004999995231628418
Cora,0.1,0,0.6,0,0.009000003337860107
Cora,0.1,0,0.6,1,0.012000024318695068
Cora,0.1,0,0.6,2,0.004999995231628418
Cora,0.1,0,0.6,3,-0.004999995231628418
Cora,0.1,0,0.6,4,-0.004999995231628418
Cora,0.1,0,0.6,5,-0.004999995231628418
Cora,0.1,0,0.6,6,-0.004999995231628418
Cora,0.1,0,0.6,7,-0.004999995231628418
Cora,0.1,0,0.6,8,-0.004999995231628418
Cora,0.1,0,0.6,9,-0.0040000081062316895
Cora,0.1,0,0.6,10,-0.0040000081062316895
