dataset,noise_rate,seed,p_grd,dexp,gain
PubMed,0.1,0,0.0,0,-0.042999982833862305
PubMed,0.1,0,0.0,1,-0.05299997329711914
PubMed,0.1,0,0.0,2,-0.026000022888183594
PubMed,0.1,0,0.0,3,-0.07300001382827759
PubMed,0.1,0,0.0,4,-0.10799998044967651
PubMed,0.1,0,0.0,5,-0.04000002145767212
PubMed,0.1,0,0.0,6,-0.021000027656555176
PubMed,0.1,0,0.0,7,-0.02899998426437378
PubMed,0.1,0,0.0,8,-0.11900001764297485
PubMed,0.1,0,0.0,9,-0.06800001859664917
PubMed,0.1,0,0.0,10,-0.03600001335144043
PubMed,0.1,0,0.1,0,-0.015999972820281982
PubMed,0.1,0,0.1,1,-0.001999974250793457
PubMed,0.1,0,0.1,2,-0.041999995708465576
PubMed,0.1,0,0.1,3,-0.041999995708465576
PubMed,0.1,0,0.1,4,-0.03299999237060547
PubMed,0.1,0,0.1,5,-0.05500000715255737
PubMed,0.1,0,0.1,6,-0.05900001525878906
PubMed,0.1,0,0.1,7,-0.029999971389770508
PubMed,0.1,0,0.1,8,-0.038999974727630615
PubMed,0.1,0,0.1,9,-0.041999995708465576
PubMed,0.1,0,0.1,10,-0.038999974727630615
PubMed,0.1,0,0.2,0,-0.06499999761581421
PubMed,0.1,0,0.2,1,-0.05500000715255737
PubMed,0.1,0,0.2,2,-0.06199997663497925
PubMed,0.1,0,0.2,3,-0.05199998617172241
PubMed,0.1,0,0.2,4,-0.04100000858306885
PubMed,0.1,0,0.2,5,-0.014999985694885254
PubMed,0.1,0,0.2,6,-0.02899998426437378
PubMed,0.1,0,0.2,7,-0.018000006675720215
PubMed,0.1,0,0.2,8,-0.027000010013580322
PubMed,0.1,0,0.2,9,-0.001999974250793457
PubMed,0.1,0,0.2,10,-0.015999972820281982
PubMed,0.1,0,0.3,0,-0.018999993801116943
PubMed,0.1,0,0.3,1,-0.054000020027160645
PubMed,0.1,0,0.3,2,-0.046999990940093994
PubMed,0.1,0,0.3,3,-0.03299999237060547
PubMed,0.1,0,0.3,4,-0.03299999237060547
PubMed,0.1,0,0.3,5,-0.02899998426437378
PubMed,0.1,0,0.3,6,-0.009999990463256836
PubMed,0.1,0,0.3,7,-0.003000020980834961
PubMed,0.1,0,0.3,8,-0.003000020980834961
PubMed,0.1,0,0.3,9,0.0
PubMed,0.1,0,0.3,10,0.0
PubMed,0.1,0,0.4,0,-0.041999995708465576
PubMed,0.1,0,0.4,1,-0.06199997663497925
PubMed,0.1,0,0.4,2,-0.041999995708465576
PubMed,0.1,0,0.4,3,-0.022000014781951904
PubMed,0.1,0,0.4,4,-0.014999985694885254
PubMed,0.1,0,0.4,5,-0.003000020980834961
PubMed,0.1,0,0.4,6,0.0
PubMed,0.1,0,0.4,7,0.0
PubMed,0.1,0,0.4,8,0.0
PubMed,0.1,0,0.4,9,0.0
PubMed,0.1,0,0.4,10,0.0
PubMed,0.1,0,0.5,0,0.0009999871253967285
PubMed,0.1,0,0.5,1,-0.054000020027160645
PubMed,0.1,0,0.5,2,-0.026000022888183594
PubMed,0.1,0,0.5,3,-0.0009999871253967285
PubMed,0.1,0,0.5,4,-0.003000020980834961
PubMed,0.1,0,0.5,5,0.0
PubMed,0.1,0,0.5,6,0.0
PubMed,0.1,0,0.5,7,0.0
PubMed,0.1,0,0.5,8,0.0
PubMed,0.1,0,0.5,9,0.0
PubMed,0.1,0,0.5,10,0.0
PubMed,0.1,0,0.6,0,-0.02899998426437378
PubMed,0.1,0,0.6,1,-0.02499997615814209
PubMed,0.1,0,0.6,2,-0.03700000047683716
PubMed,0.1,0,0.6,3,-0.017000019550323486
PubMed,0.1,0,0.6,4,0.0
PubMed,0.1,0,0.6,5,0.0
PubMed,0.1,0,0.6,6,0.0
PubMed,0.1,0,0.6,7,0.0
PubMed,0.1,0,0.6,8,0.0
PubMed,0.1,0,0.6,9,0.0
PubMed,0.1,0,0.6,10,0.0
PubMed,0.1,0,0.7,0,-0.015999972820281982
PubMed,0.1,0,0.7,1,-0.015999972820281982
PubMed,0.1,0,0.7,2,0.0040000081062316895
PubMed,0.1,0,0.7,3,-0.003000020980834961
PubMed,0.1,0,0.7,4,0.0
PubMed,0.1,0,0.7,5,0.0
PubMed,0.1,0,0.7,6,0.0
PubMed,0.1,0,0.7,7,0.0
PubMed,0.1,0,0.7,8,0.0
PubMed,0.1,0,0.7,9,0.0
PubMed,0.1,0,0.7,10,0.0
PubMed,0.1,0,0.8,0,-0.0040000081062316895
PubMed,0.1,0,0.8,1,-0.03299999237060547
PubMed,0.1,0,0.8,2,-0.004999995231628418
PubMed,0.1,0,0.8,3,0.0
PubMed,0.1,0,0.8,4,0.0
PubMed,0.1,0,0.8,5,0.0
PubMed,0.1,0,0.8,6,0.0
PubMed,0.1,0,0.8,7,0.0
PubMed,0.1,0,0.8,8,0.0
PubMed,0.1,0,0.8,9,0.0
PubMed,0.1,0,0.8,10,0.0
PubMed,0.1,0,0.9,0,-0.02399998903274536
PubMed,0.1,0,0.9,1,0.009999990463256836
PubMed,0.1,0,0.9,2,0.0
PubMed,0.1,0,0.9,3,0.0
PubMed,0.1,0,0.9,4,0.0
PubMed,0.1,0,0.9,5,0.0
PubMed,0.1,0,0.9,6,0.0
PubMed,0.1,0,0.9,7,0.0
PubMed,0.1,0,0.9,8,0.0
PubMed,0.1,0,0.9,9,0.0
PubMed,0.1,0,0.9,10,0.0
PubMed,0.1,1,0.0,0,-0.026999950408935547
PubMed,0.1,1,0.0,1,-0.014999985694885254
PubMed,0.1,1,0.0,2,-0.03299999237060547
PubMed,0.1,1,0.0,3,0.00700002908706665
PubMed,0.1,1,0.0,4,-0.01799994707107544
PubMed,0.1,1,0.0,5,-0.042999982833862305
PubMed,0.1,1,0.0,6,-0.007999956607818604
PubMed,0.1,1,0.0,7,-0.0679999589920044
PubMed,0.1,1,0.0,8,-0.01799994707107544
PubMed,0.1,1,0.0,9,-0.14699995517730713
PubMed,0.1,1,0.0,10,-0.046000003814697266
PubMed,0.1,1,0.1,0,-0.011999964714050293
PubMed,0.1,1,0.1,1,0.0
PubMed,0.1,1,0.1,2,-0.050999999046325684
PubMed,0.1,1,0.1,3,-0.02899998426437378
PubMed,0.1,1,0.1,4,-0.015999972820281982
PubMed,0.1,1,0.1,5,-0.014999985694885254
PubMed,0.1,1,0.1,6,-0.015999972820281982
PubMed,0.1,1,0.1,7,-0.02399998903274536
PubMed,0.1,1,0.1,8,-0.026999950408935547
PubMed,0.1,1,0.1,9,-0.004999995231628418
PubMed,0.1,1,0.1,10,-0.02599996328353882
PubMed,0.1,1,0.2,0,-0.0209999680519104
PubMed,0.1,1,0.2,1,-0.04499995708465576
PubMed,0.1,1,0.2,2,-0.029999971389770508
PubMed,0.1,1,0.2,3,-0.0059999823570251465
PubMed,0.1,1,0.2,4,-0.013999998569488525
PubMed,0.1,1,0.2,5,0.003000020980834961
PubMed,0.1,1,0.2,6,-0.011999964714050293
PubMed,0.1,1,0.2,7,0.005000054836273193
PubMed,0.1,1,0.2,8,0.010000050067901611
PubMed,0.1,1,0.2,9,0.009000003337860107
PubMed,0.1,1,0.2,10,0.012000024318695068
PubMed,0.1,1,0.3,0,-0.023000001907348633
PubMed,0.1,1,0.3,1,-0.02599996328353882
PubMed,0.1,1,0.3,2,-0.015999972820281982
PubMed,0.1,1,0.3,3,0.01100003719329834
PubMed,0.1,1,0.3,4,-0.009999990463256836
PubMed,0.1,1,0.3,5,0.010000050067901611
PubMed,0.1,1,0.3,6,0.013999998569488525
PubMed,0.1,1,0.3,7,0.0
PubMed,0.1,1,0.3,8,0.0
PubMed,0.1,1,0.3,9,0.0
PubMed,0.1,1,0.3,10,0.0
PubMed,0.1,1,0.4,0,-0.008999943733215332
PubMed,0.1,1,0.4,1,-0.042999982833862305
PubMed,0.1,1,0.4,2,-0.031999945640563965
PubMed,0.1,1,0.4,3,-0.008999943733215332
PubMed,0.1,1,0.4,4,0.01900005340576172
PubMed,0.1,1,0.4,5,0.008000016212463379
PubMed,0.1,1,0.4,6,0.0
PubMed,0.1,1,0.4,7,0.0
PubMed,0.1,1,0.4,8,0.0
PubMed,0.1,1,0.4,9,0.0
PubMed,0.1,1,0.4,10,0.0
PubMed,0.1,1,0.5,0,0.03100001811981201
PubMed,0.1,1,0.5,1,-0.03700000047683716
PubMed,0.1,1,0.5,2,-0.012999951839447021
PubMed,0.1,1,0.5,3,0.010000050067901611
PubMed,0.1,1,0.5,4,0.008000016212463379
PubMed,0.1,1,0.5,5,0.0
PubMed,0.1,1,0.5,6,0.0
PubMed,0.1,1,0.5,7,0.0
PubMed,0.1,1,0.5,8,0.0
PubMed,0.1,1,0.5,9,0.0
PubMed,0.1,1,0.5,10,0.0
PubMed,0.1,1,0.6,0,0.005000054836273193
PubMed,0.1,1,0.6,1,-0.02799999713897705
PubMed,0.1,1,0.6,2,0.013000011444091797
PubMed,0.1,1,0.6,3,0.013999998569488525
PubMed,0.1,1,0.6,4,0.0
PubMed,0.1,1,0.6,5,0.0
PubMed,0.1,1,0.6,6,0.0
PubMed,0.1,1,0.6,7,0.0
PubMed,0.1,1,0.6,8,0.0
PubMed,0.1,1,0.6,9,0.0
PubMed,0.1,1,0.6,10,0.0
PubMed,0.1,1,0.7,0,0.025000035762786865
PubMed,0.1,1,0.7,1,-0.02399998903274536
PubMed,0.1,1,0.7,2,0.010000050067901611
PubMed,0.1,1,0.7,3,0.008000016212463379
PubMed,0.1,1,0.7,4,0.0
PubMed,0.1,1,0.7,5,0.0
PubMed,0.1,1,0.7,6,0.0
PubMed,0.1,1,0.7,7,0.0
PubMed,0.1,1,0.7,8,0.0
PubMed,0.1,1,0.7,9,0.0
PubMed,0.1,1,0.7,10,0.0
PubMed,0.1,1,0.8,0,0.01100003719329834
PubMed,0.1,1,0.8,1,-0.0029999613761901855
PubMed,0.1,1,0.8,2,0.00700002908706665
PubMed,0.1,1,0.8,3,0.0
PubMed,0.1,1,0.8,4,0.0
PubMed,0.1,1,0.8,5,0.0
PubMed,0.1,1,0.8,6,0.0
PubMed,0.1,1,0.8,7,0.0
PubMed,0.1,1,0.8,8,0.0
PubMed,0.1,1,0.8,9,0.0
PubMed,0.1,1,0.8,10,0.0
PubMed,0.1,1,0.9,0,0.00700002908706665
PubMed,0.1,1,0.9,1,0.012000024318695068
PubMed,0.1,1,0.9,2,0.0
PubMed,0.1,1,0.9,3,0.0
PubMed,0.1,1,0.9,4,0.0
PubMed,0.1,1,0.9,5,0.0
PubMed,0.1,1,0.9,6,0.0
PubMed,0.1,1,0.9,7,0.0
PubMed,0.1,1,0.9,8,0.0
PubMed,0.1,1,0.9,9,0.0
PubMed,0.1,1,0.9,10,0.0
PubMed,0.1,2,0.0,0,-0.008000016212463379
PubMed,0.1,2,0.0,1,-0.00700002908706665
PubMed,0.1,2,0.0,2,-0.0059999823570251465
PubMed,0.1,2,0.0,3,0.009000003337860107
PubMed,0.1,2,0.0,4,-0.012000024318695068
PubMed,0.1,2,0.0,5,-0.0040000081062316895
PubMed,0.1,2,0.0,6,-0.03200000524520874
PubMed,0.1,2,0.0,7,0.008000016212463379
PubMed,0.1,2,0.0,8,0.017000019550323486
PubMed,0.1,2,0.0,9,0.0
PubMed,0.1,2,0.0,10,-0.021000027656555176
PubMed,0.1,2,0.1,0,0.02399998903274536
PubMed,0.1,2,0.1,1,-0.03600001335144043
