dataset,noise_rate,seed,rem_thresh,rel_thresh,gain
CiteSeer,0.1,0,0.1,0.0,-0.008000016212463379
CiteSeer,0.1,0,0.1,0.1,-0.013000011444091797
CiteSeer,0.1,0,0.1,0.2,-0.013000011444091797
CiteSeer,0.1,0,0.1,0.3,-0.013000011444091797
CiteSeer,0.1,0,0.1,0.4,-0.013000011444091797
CiteSeer,0.1,0,0.1,0.5,-0.013000011444091797
CiteSeer,0.1,0,0.1,0.6,-0.013000011444091797
CiteSeer,0.1,0,0.1,0.7,-0.013999998569488525
CiteSeer,0.1,0,0.1,0.8,-0.013999998569488525
CiteSeer,0.1,0,0.1,0.9,-0.013999998569488525
CiteSeer,0.1,0,0.1,1.0,-0.013999998569488525
CiteSeer,0.1,0,0.2,0.0,-0.0040000081062316895
CiteSeer,0.1,0,0.2,0.1,-0.009999990463256836
CiteSeer,0.1,0,0.2,0.2,-0.009999990463256836
CiteSeer,0.1,0,0.2,0.3,-0.009999990463256836
CiteSeer,0.1,0,0.2,0.4,-0.009999990463256836
CiteSeer,0.1,0,0.2,0.5,-0.009999990463256836
CiteSeer,0.1,0,0.2,0.6,-0.009999990463256836
CiteSeer,0.1,0,0.2,0.7,-0.009000003337860107
CiteSeer,0.1,0,0.2,0.8,-0.009000003337860107
CiteSeer,0.1,0,0.2,0.9,-0.009000003337860107
CiteSeer,0.1,0,0.2,1.0,-0.021000027656555176
CiteSeer,0.1,0,0.3,0.0,-0.0040000081062316895
CiteSeer,0.1,0,0.3,0.1,-0.009999990463256836
CiteSeer,0.1,0,0.3,0.2,-0.009999990463256836
CiteSeer,0.1,0,0.3,0.3,-0.009999990463256836
CiteSeer,0.1,0,0.3,0.4,-0.009999990463256836
CiteSeer,0.1,0,0.3,0.5,-0.009999990463256836
CiteSeer,0.1,0,0.3,0.6,-0.009999990463256836
CiteSeer,0.1,0,0.3,0.7,-0.009000003337860107
CiteSeer,0.1,0,0.3,0.8,-0.009000003337860107
CiteSeer,0.1,0,0.3,0.9,-0.009000003337860107
CiteSeer,0.1,0,0.3,1.0,-0.021000027656555176
CiteSeer,0.1,0,0.4,0.0,-0.0040000081062316895
CiteSeer,0.1,0,0.4,0.1,-0.009999990463256836
CiteSeer,0.1,0,0.4,0.2,-0.009999990463256836
CiteSeer,0.1,0,0.4,0.3,-0.009999990463256836
CiteSeer,0.1,0,0.4,0.4,-0.009999990463256836
CiteSeer,0.1,0,0.4,0.5,-0.009999990463256836
CiteSeer,0.1,0,0.4,0.6,-0.009999990463256836
CiteSeer,0.1,0,0.4,0.7,-0.009000003337860107
CiteSeer,0.1,0,0.4,0.8,-0.009000003337860107
CiteSeer,0.1,0,0.4,0.9,-0.009000003337860107
CiteSeer,0.1,0,0.4,1.0,-0.021000027656555176
CiteSeer,0.1,0,0.5,0.0,-0.0040000081062316895
CiteSeer,0.1,0,0.5,0.1,-0.009999990463256836
CiteSeer,0.1,0,0.5,0.2,-0.009999990463256836
CiteSeer,0.1,0,0.5,0.3,-0.009999990463256836
CiteSeer,0.1,0,0.5,0.4,-0.009999990463256836
CiteSeer,0.1,0,0.5,0.5,-0.009999990463256836
CiteSeer,0.1,0,0.5,0.6,-0.009999990463256836
CiteSeer,0.1,0,0.5,0.7,-0.009000003337860107
CiteSeer,0.1,0,0.5,0.8,-0.009000003337860107
CiteSeer,0.1,0,0.5,0.9,-0.009000003337860107
CiteSeer,0.1,0,0.5,1.0,-0.021000027656555176
CiteSeer,0.1,0,0.6,0.0,-0.0040000081062316895
CiteSeer,0.1,0,0.6,0.1,-0.009999990463256836
CiteSeer,0.1,0,0.6,0.2,-0.009999990463256836
CiteSeer,0.1,0,0.6,0.3,-0.009999990463256836
CiteSeer,0.1,0,0.6,0.4,-0.009999990463256836
CiteSeer,0.1,0,0.6,0.5,-0.009999990463256836
CiteSeer,0.1,0,0.6,0.6,-0.009999990463256836
CiteSeer,0.1,0,0.6,0.7,-0.009000003337860107
CiteSeer,0.1,0,0.6,0.8,-0.009000003337860107
CiteSeer,0.1,0,0.6,0.9,-0.009000003337860107
CiteSeer,0.1,0,0.6,1.0,-0.021000027656555176
CiteSeer,0.1,0,0.7,0.0,-0.0040000081062316895
CiteSeer,0.1,0,0.7,0.1,-0.009999990463256836
CiteSeer,0.1,0,0.7,0.2,-0.009999990463256836
CiteSeer,0.1,0,0.7,0.3,-0.009999990463256836
CiteSeer,0.1,0,0.7,0.4,-0.009999990463256836
CiteSeer,0.1,0,0.7,0.5,-0.009999990463256836
CiteSeer,0.1,0,0.7,0.6,-0.009999990463256836
CiteSeer,0.1,0,0.7,0.7,-0.009000003337860107
CiteSeer,0.1,0,0.7,0.8,-0.009000003337860107
CiteSeer,0.1,0,0.7,0.9,-0.009000003337860107
CiteSeer,0.1,0,0.7,1.0,-0.021000027656555176
CiteSeer,0.1,0,0.8,0.0,-0.0040000081062316895
CiteSeer,0.1,0,0.8,0.1,-0.009999990463256836
CiteSeer,0.1,0,0.8,0.2,-0.009999990463256836
CiteSeer,0.1,0,0.8,0.3,-0.009999990463256836
CiteSeer,0.1,0,0.8,0.4,-0.009999990463256836
CiteSeer,0.1,0,0.8,0.5,-0.009999990463256836
CiteSeer,0.1,0,0.8,0.6,-0.009999990463256836
CiteSeer,0.1,0,0.8,0.7,-0.009000003337860107
CiteSeer,0.1,0,0.8,0.8,-0.009000003337860107
CiteSeer,0.1,0,0.8,0.9,-0.009000003337860107
CiteSeer,0.1,0,0.8,1.0,-0.021000027656555176
CiteSeer,0.1,0,0.9,0.0,-0.0040000081062316895
CiteSeer,0.1,0,0.9,0.1,-0.009999990463256836
CiteSeer,0.1,0,0.9,0.2,-0.009999990463256836
CiteSeer,0.1,0,0.9,0.3,-0.009999990463256836
CiteSeer,0.1,0,0.9,0.4,-0.009999990463256836
CiteSeer,0.1,0,0.9,0.5,-0.009999990463256836
CiteSeer,0.1,0,0.9,0.6,-0.009999990463256836
CiteSeer,0.1,0,0.9,0.7,-0.009000003337860107
CiteSeer,0.1,0,0.9,0.8,-0.009000003337860107
CiteSeer,0.1,0,0.9,0.9,-0.009000003337860107
CiteSeer,0.1,0,0.9,1.0,-0.021000027656555176
CiteSeer,0.1,0,1.0,0.0,-0.004999995231628418
CiteSeer,0.1,0,1.0,0.1,-0.0040000081062316895
CiteSeer,0.1,0,1.0,0.2,-0.0040000081062316895
CiteSeer,0.1,0,1.0,0.3,-0.0040000081062316895
CiteSeer,0.1,0,1.0,0.4,-0.0040000081062316895
