dataset,noise_rate,seed,rem_thresh,rel_thresh,gain
PubMed,0.1,0,0.1,0.0,-0.017000019550323486
PubMed,0.1,0,0.1,0.1,-0.017000019550323486
PubMed,0.1,0,0.1,0.2,-0.013000011444091797
PubMed,0.1,0,0.1,0.3,-0.018999993801116943
PubMed,0.1,0,0.1,0.4,-0.018999993801116943
PubMed,0.1,0,0.1,0.5,-0.018999993801116943
PubMed,0.1,0,0.1,0.6,-0.03600001335144043
PubMed,0.1,0,0.1,0.7,-0.03700000047683716
PubMed,0.1,0,0.1,0.8,-0.03100001811981201
PubMed,0.1,0,0.1,0.9,-0.03100001811981201
PubMed,0.1,0,0.1,1.0,-0.03299999237060547
PubMed,0.1,0,0.2,0.0,-0.003000020980834961
PubMed,0.1,0,0.2,0.1,-0.009999990463256836
PubMed,0.1,0,0.2,0.2,-0.0009999871253967285
PubMed,0.1,0,0.2,0.3,-0.018000006675720215
PubMed,0.1,0,0.2,0.4,-0.018000006675720215
PubMed,0.1,0,0.2,0.5,-0.018999993801116943
PubMed,0.1,0,0.2,0.6,-0.02899998426437378
PubMed,0.1,0,0.2,0.7,-0.029999971389770508
PubMed,0.1,0,0.2,0.8,-0.03299999237060547
PubMed,0.1,0,0.2,0.9,-0.03299999237060547
PubMed,0.1,0,0.2,1.0,-0.03799998760223389
PubMed,0.1,0,0.3,0.0,-0.003000020980834961
PubMed,0.1,0,0.3,0.1,-0.009999990463256836
PubMed,0.1,0,0.3,0.2,-0.0009999871253967285
PubMed,0.1,0,0.3,0.3,-0.018000006675720215
PubMed,0.1,0,0.3,0.4,-0.018000006675720215
PubMed,0.1,0,0.3,0.5,-0.018999993801116943
PubMed,0.1,0,0.3,0.6,-0.02899998426437378
PubMed,0.1,0,0.3,0.7,-0.029999971389770508
PubMed,0.1,0,0.3,0.8,-0.03299999237060547
PubMed,0.1,0,0.3,0.9,-0.03299999237060547
PubMed,0.1,0,0.3,1.0,-0.03799998760223389
PubMed,0.1,0,0.4,0.0,-0.003000020980834961
PubMed,0.1,0,0.4,0.1,-0.009999990463256836
PubMed,0.1,0,0.4,0.2,-0.0009999871253967285
PubMed,0.1,0,0.4,0.3,-0.018000006675720215
PubMed,0.1,0,0.4,0.4,-0.018000006675720215
PubMed,0.1,0,0.4,0.5,-0.018999993801116943
PubMed,0.1,0,0.4,0.6,-0.02899998426437378
PubMed,0.1,0,0.4,0.7,-0.029999971389770508
PubMed,0.1,0,0.4,0.8,-0.03299999237060547
PubMed,0.1,0,0.4,0.9,-0.03299999237060547
PubMed,0.1,0,0.4,1.0,-0.03799998760223389
PubMed,0.1,0,0.5,0.0,-0.003000020980834961
PubMed,0.1,0,0.5,0.1,-0.009999990463256836
PubMed,0.1,0,0.5,0.2,-0.0009999871253967285
PubMed,0.1,0,0.5,0.3,-0.018000006675720215
PubMed,0.1,0,0.5,0.4,-0.018000006675720215
PubMed,0.1,0,0.5,0.5,-0.018999993801116943
PubMed,0.1,0,0.5,0.6,-0.02899998426437378
PubMed,0.1,0,0.5,0.7,-0.029999971389770508
PubMed,0.1,0,0.5,0.8,-0.03299999237060547
PubMed,0.1,0,0.5,0.9,-0.03299999237060547
PubMed,0.1,0,0.5,1.0,-0.03799998760223389
PubMed,0.1,0,0.6,0.0,-0.003000020980834961
PubMed,0.1,0,0.6,0.1,-0.009999990463256836
PubMed,0.1,0,0.6,0.2,-0.0009999871253967285
PubMed,0.1,0,0.6,0.3,-0.018000006675720215
PubMed,0.1,0,0.6,0.4,-0.018000006675720215
PubMed,0.1,0,0.6,0.5,-0.018999993801116943
PubMed,0.1,0,0.6,0.6,-0.02899998426437378
PubMed,0.1,0,0.6,0.7,-0.029999971389770508
PubMed,0.1,0,0.6,0.8,-0.03299999237060547
PubMed,0.1,0,0.6,0.9,-0.03299999237060547
PubMed,0.1,0,0.6,1.0,-0.03799998760223389
PubMed,0.1,0,0.7,0.0,-0.003000020980834961
PubMed,0.1,0,0.7,0.1,-0.009999990463256836
PubMed,0.1,0,0.7,0.2,-0.0009999871253967285
PubMed,0.1,0,0.7,0.3,-0.018000006675720215
PubMed,0.1,0,0.7,0.4,-0.018000006675720215
PubMed,0.1,0,0.7,0.5,-0.018999993801116943
PubMed,0.1,0,0.7,0.6,-0.02899998426437378
PubMed,0.1,0,0.7,0.7,-0.029999971389770508
PubMed,0.1,0,0.7,0.8,-0.03299999237060547
