dataset,noise_rate,seed,strategy,k,gain
CiteSeer,0.1,0,s,2,0.0040000081062316895
CiteSeer,0.1,0,s,5,0.026000022888183594
CiteSeer,0.1,0,s,10,0.03200000524520874
CiteSeer,0.1,0,s,15,0.02499997615814209
CiteSeer,0.1,0,s,20,0.0059999823570251465
CiteSeer,0.1,0,s,30,0.03100001811981201
CiteSeer,0.1,0,s,50,-0.009999990463256836
CiteSeer,0.1,0,s,75,-0.013000011444091797
CiteSeer,0.1,0,s,100,0.004999995231628418
CiteSeer,0.1,0,d,2,-0.05900001525878906
CiteSeer,0.1,0,d,5,-0.35100001096725464
CiteSeer,0.1,0,d,10,-0.659000039100647
CiteSeer,0.1,0,d,15,-0.659000039100647
CiteSeer,0.1,0,d,20,-0.659000039100647
CiteSeer,0.1,0,d,30,-0.659000039100647
CiteSeer,0.1,0,d,50,-0.659000039100647
CiteSeer,0.1,0,d,75,-0.659000039100647
CiteSeer,0.1,0,d,100,-0.659000039100647
CiteSeer,0.1,0,p,2,-0.013999998569488525
CiteSeer,0.1,0,p,5,-0.4710000306367874
CiteSeer,0.1,0,p,10,-0.659000039100647
CiteSeer,0.1,0,p,15,-0.659000039100647
CiteSeer,0.1,0,p,20,-0.659000039100647
CiteSeer,0.1,0,p,30,-0.659000039100647
CiteSeer,0.1,0,p,50,-0.659000039100647
CiteSeer,0.1,0,p,75,-0.659000039100647
CiteSeer,0.1,0,p,100,-0.659000039100647
CiteSeer,0.1,0,u,0,0.011999964714050293
CiteSeer,0.1,1,s,2,0.03299999237060547
CiteSeer,0.1,1,s,5,0.03600001335144043
CiteSeer,0.1,1,s,10,0.04500001668930054
CiteSeer,0.1,1,s,15,0.050999999046325684
CiteSeer,0.1,1,s,20,0.050000011920928955
CiteSeer,0.1,1,s,30,0.0350000262260437
CiteSeer,0.1,1,s,50,0.02799999713897705
CiteSeer,0.1,1,s,75,-0.0009999871253967285
CiteSeer,0.1,1,s,100,-0.050000011920928955
CiteSeer,0.1,1,d,2,-0.11299997568130493
CiteSeer,0.1,1,d,5,-0.46400000154972076
CiteSeer,0.1,1,d,10,-0.46400000154972076
CiteSeer,0.1,1,d,15,-0.6240000128746033
CiteSeer,0.1,1,d,20,-0.6240000128746033
CiteSeer,0.1,1,d,30,-0.46400000154972076
CiteSeer,0.1,1,d,50,-0.46400000154972076
CiteSeer,0.1,1,d,75,-0.46400000154972076
CiteSeer,0.1,1,d,100,-0.46400000154972076
CiteSeer,0.1,1,p,2,-0.08300000429153442
CiteSeer,0.1,1,p,5,-0.46400000154972076
CiteSeer,0.1,1,p,10,-0.6240000128746033
CiteSeer,0.1,1,p,15,-0.46400000154972076
CiteSeer,0.1,1,p,20,-0.46400000154972076
CiteSeer,0.1,1,p,30,-0.6240000128746033
CiteSeer,0.1,1,p,50,-0.6240000128746033
CiteSeer,0.1,1,p,75,-0.46400000154972076
CiteSeer,0.1,1,p,100,-0.46400000154972076
CiteSeer,0.1,1,u,0,0.04000002145767212
CiteSeer,0.1,2,s,2,0.02499997615814209
CiteSeer,0.1,2,s,5,0.02199995517730713
CiteSeer,0.1,2,s,10,0.018999993801116943
CiteSeer,0.1,2,s,15,0.030999958515167236
CiteSeer,0.1,2,s,20,0.018999993801116943
CiteSeer,0.1,2,s,30,0.015999972820281982
CiteSeer,0.1,2,s,50,0.027000010013580322
CiteSeer,0.1,2,s,75,0.0029999613761901855
CiteSeer,0.1,2,s,100,-0.03700000047683716
CiteSeer,0.1,2,d,2,-0.33500003814697266
CiteSeer,0.1,2,d,5,-0.42600004374980927
CiteSeer,0.1,2,d,10,-0.4270000457763672
CiteSeer,0.1,2,d,15,-0.4270000457763672
CiteSeer,0.1,2,d,20,-0.4270000457763672
CiteSeer,0.1,2,d,30,-0.4270000457763672
CiteSeer,0.1,2,d,50,-0.4270000457763672
CiteSeer,0.1,2,d,75,-0.4270000457763672
CiteSeer,0.1,2,d,100,-0.4270000457763672
CiteSeer,0.1,2,p,2,-0.3360000252723694
CiteSeer,0.1,2,p,5,-0.4270000457763672
CiteSeer,0.1,2,p,10,-0.4270000457763672
CiteSeer,0.1,2,p,15,-0.4270000457763672
CiteSeer,0.1,2,p,20,-0.4270000457763672
CiteSeer,0.1,2,p,30,-0.4270000457763672
CiteSeer,0.1,2,p,50,-0.4270000457763672
CiteSeer,0.1,2,p,75,-0.4270000457763672
CiteSeer,0.1,2,p,100,-0.4270000457763672
CiteSeer,0.1,2,u,0,0.018999993801116943
CiteSeer,0.1,3,s,2,0.03100001811981201
CiteSeer,0.1,3,s,5,-0.003999948501586914
CiteSeer,0.1,3,s,10,0.004999995231628418
CiteSeer,0.1,3,s,15,0.024000048637390137
CiteSeer,0.1,3,s,20,0.0040000081062316895
CiteSeer,0.1,3,s,30,0.0350000262260437
CiteSeer,0.1,3,s,50,0.021000027656555176
CiteSeer,0.1,3,s,75,0.01900005340576172
CiteSeer,0.1,3,s,100,-0.006999969482421875
CiteSeer,0.1,3,d,2,-0.1849999725818634
CiteSeer,0.1,3,d,5,-0.5059999972581863
CiteSeer,0.1,3,d,10,-0.5059999972581863
CiteSeer,0.1,3,d,15,-0.5059999972581863
CiteSeer,0.1,3,d,20,-0.5059999972581863
CiteSeer,0.1,3,d,30,-0.5059999972581863
CiteSeer,0.1,3,d,50,-0.5059999972581863
CiteSeer,0.1,3,d,75,-0.5059999972581863
CiteSeer,0.1,3,d,100,-0.5059999972581863
CiteSeer,0.1,3,p,2,-0.22199997305870056
CiteSeer,0.1,3,p,5,-0.5059999972581863
CiteSeer,0.1,3,p,10,-0.5059999972581863
CiteSeer,0.1,3,p,15,-0.5059999972581863
CiteSeer,0.1,3,p,20,-0.5059999972581863
CiteSeer,0.1,3,p,30,-0.5059999972581863
CiteSeer,0.1,3,p,50,-0.5059999972581863
CiteSeer,0.1,3,p,75,-0.5059999972581863
CiteSeer,0.1,3,p,100,-0.5059999972581863
CiteSeer,0.1,3,u,0,0.023000001907348633
CiteSeer,0.1,4,s,2,0.03400003910064697
CiteSeer,0.1,4,s,5,0.04900002479553223
CiteSeer,0.1,4,s,10,0.03400003910064697
CiteSeer,0.1,4,s,15,0.0480000376701355
CiteSeer,0.1,4,s,20,0.03900003433227539
CiteSeer,0.1,4,s,30,0.057000041007995605
CiteSeer,0.1,4,s,50,0.06599998474121094
CiteSeer,0.1,4,s,75,0.03900003433227539
CiteSeer,0.1,4,s,100,0.018000006675720215
CiteSeer,0.1,4,d,2,-0.19200000166893005
CiteSeer,0.1,4,d,5,-0.39500001072883606
CiteSeer,0.1,4,d,10,-0.3970000147819519
CiteSeer,0.1,4,d,15,-0.3970000147819519
CiteSeer,0.1,4,d,20,-0.3970000147819519
CiteSeer,0.1,4,d,30,-0.3970000147819519
CiteSeer,0.1,4,d,50,-0.3970000147819519
CiteSeer,0.1,4,d,75,-0.3970000147819519
CiteSeer,0.1,4,d,100,-0.3970000147819519
CiteSeer,0.1,4,p,2,-0.2290000021457672
CiteSeer,0.1,4,p,5,-0.39500001072883606
CiteSeer,0.1,4,p,10,-0.3970000147819519
CiteSeer,0.1,4,p,15,-0.3970000147819519
CiteSeer,0.1,4,p,20,-0.3970000147819519
CiteSeer,0.1,4,p,30,-0.3970000147819519
CiteSeer,0.1,4,p,50,-0.3970000147819519
CiteSeer,0.1,4,p,75,-0.3970000147819519
CiteSeer,0.1,4,p,100,-0.3970000147819519
CiteSeer,0.1,4,u,0,0.050000011920928955
CiteSeer,0.1,5,s,2,0.04000002145767212
CiteSeer,0.1,5,s,5,0.03799998760223389
CiteSeer,0.1,5,s,10,0.0690000057220459
CiteSeer,0.1,5,s,15,0.050000011920928955
CiteSeer,0.1,5,s,20,0.03700000047683716
CiteSeer,0.1,5,s,30,0.04500001668930054
CiteSeer,0.1,5,s,50,0.05900001525878906
CiteSeer,0.1,5,s,75,0.05500000715255737
CiteSeer,0.1,5,s,100,0.06300002336502075
CiteSeer,0.1,5,d,2,-0.3150000274181366
CiteSeer,0.1,5,d,5,-0.5270000249147415
CiteSeer,0.1,5,d,10,-0.5270000249147415
CiteSeer,0.1,5,d,15,-0.5270000249147415
CiteSeer,0.1,5,d,20,-0.5270000249147415
CiteSeer,0.1,5,d,30,-0.5270000249147415
CiteSeer,0.1,5,d,50,-0.5270000249147415
CiteSeer,0.1,5,d,75,-0.5270000249147415
CiteSeer,0.1,5,d,100,-0.5270000249147415
CiteSeer,0.1,5,p,2,-0.14000001549720764
CiteSeer,0.1,5,p,5,-0.5270000249147415
CiteSeer,0.1,5,p,10,-0.5270000249147415
CiteSeer,0.1,5,p,15,-0.5270000249147415
CiteSeer,0.1,5,p,20,-0.5270000249147415
CiteSeer,0.1,5,p,30,-0.5270000249147415
CiteSeer,0.1,5,p,50,-0.5270000249147415
CiteSeer,0.1,5,p,75,-0.5270000249147415
CiteSeer,0.1,5,p,100,-0.5270000249147415
CiteSeer,0.1,5,u,0,-0.016000032424926758
CiteSeer,0.1,6,s,2,0.0559999942779541
CiteSeer,0.1,6,s,5,0.03900003433227539
CiteSeer,0.1,6,s,10,0.022000014781951904
