dataset,noise_rate,seed,strategy,k,gain
Cora,0.1,0,s,2,0.017000019550323486
Cora,0.1,0,s,5,0.025000035762786865
Cora,0.1,0,s,10,-0.018000006675720215
Cora,0.1,0,s,15,-0.013999998569488525
Cora,0.1,0,s,20,-0.02899998426437378
Cora,0.1,0,s,30,-0.013999998569488525
Cora,0.1,0,s,50,-0.0059999823570251465
Cora,0.1,0,s,75,-0.027000010013580322
Cora,0.1,0,s,100,-0.006999969482421875
Cora,0.1,0,d,2,0.018000006675720215
Cora,0.1,0,d,5,-0.04899996519088745
Cora,0.1,0,d,10,-0.26600000262260437
Cora,0.1,0,d,15,-0.1380000114440918
Cora,0.1,0,d,20,-0.49799999594688416
Cora,0.1,0,d,30,-0.6520000100135803
Cora,0.1,0,d,50,-0.7350000143051147
Cora,0.1,0,d,75,-0.675000011920929
Cora,0.1,0,d,100,-0.7350000143051147
Cora,0.1,0,p,2,-0.02399998903274536
Cora,0.1,0,p,5,-0.06599998474121094
Cora,0.1,0,p,10,-0.4359999895095825
Cora,0.1,0,p,15,-0.2980000078678131
Cora,0.1,0,p,20,-0.6520000100135803
Cora,0.1,0,p,30,-0.7350000143051147
Cora,0.1,0,p,50,-0.7350000143051147
Cora,0.1,0,p,75,-0.6380000114440918
Cora,0.1,0,p,100,-0.7350000143051147
Cora,0.1,0,u,0,0.013000011444091797
Cora,0.1,1,s,2,0.030999958515167236
Cora,0.1,1,s,5,0.013999998569488525
Cora,0.1,1,s,10,0.03299999237060547
Cora,0.1,1,s,15,0.0209999680519104
Cora,0.1,1,s,20,0.02799999713897705
Cora,0.1,1,s,30,0.03700000047683716
Cora,0.1,1,s,50,0.039999961853027344
Cora,0.1,1,s,75,0.02199995517730713
Cora,0.1,1,s,100,0.0009999871253967285
Cora,0.1,1,d,2,-0.06600004434585571
Cora,0.1,1,d,5,-0.013999998569488525
Cora,0.1,1,d,10,-0.17599999904632568
Cora,0.1,1,d,15,-0.17900002002716064
Cora,0.1,1,d,20,-0.3890000283718109
Cora,0.1,1,d,30,-0.6370000466704369
Cora,0.1,1,d,50,-0.7460000514984131
Cora,0.1,1,d,75,-0.7460000514984131
Cora,0.1,1,d,100,-0.7460000514984131
Cora,0.1,1,p,2,-0.029000043869018555
Cora,0.1,1,p,5,-0.00700002908706665
Cora,0.1,1,p,10,-0.27800002694129944
Cora,0.1,1,p,15,-0.23400002717971802
Cora,0.1,1,p,20,-0.6550000458955765
Cora,0.1,1,p,30,-0.7460000514984131
Cora,0.1,1,p,50,-0.7460000514984131
Cora,0.1,1,p,75,-0.7460000514984131
Cora,0.1,1,p,100,-0.7460000514984131
Cora,0.1,1,u,0,0.034999966621398926
Cora,0.1,2,s,2,0.030999958515167236
Cora,0.1,2,s,5,0.001999974250793457
Cora,0.1,2,s,10,0.009999990463256836
Cora,0.1,2,s,15,-0.0040000081062316895
Cora,0.1,2,s,20,0.003999948501586914
Cora,0.1,2,s,30,0.02599996328353882
Cora,0.1,2,s,50,0.009000003337860107
Cora,0.1,2,s,75,0.003999948501586914
Cora,0.1,2,s,100,-0.027000010013580322
Cora,0.1,2,d,2,-0.057000041007995605
Cora,0.1,2,d,5,-0.09300005435943604
Cora,0.1,2,d,10,-0.26100003719329834
Cora,0.1,2,d,15,-0.5620000511407852
Cora,0.1,2,d,20,-0.5780000537633896
Cora,0.1,2,d,30,-0.5780000537633896
Cora,0.1,2,d,50,-0.5780000537633896
Cora,0.1,2,d,75,-0.5780000537633896
Cora,0.1,2,d,100,-0.5780000537633896
Cora,0.1,2,p,2,0.02199995517730713
Cora,0.1,2,p,5,-0.15300005674362183
Cora,0.1,2,p,10,-0.30000004172325134
Cora,0.1,2,p,15,-0.5270000547170639
Cora,0.1,2,p,20,-0.49900004267692566
Cora,0.1,2,p,30,-0.5780000537633896
Cora,0.1,2,p,50,-0.5780000537633896
Cora,0.1,2,p,75,-0.5780000537633896
Cora,0.1,2,p,100,-0.5780000537633896
Cora,0.1,2,u,0,-0.0350000262260437
Cora,0.1,3,s,2,-0.020000040531158447
Cora,0.1,3,s,5,-0.017000019550323486
Cora,0.1,3,s,10,-0.018000006675720215
Cora,0.1,3,s,15,-0.021000027656555176
Cora,0.1,3,s,20,-0.023000001907348633
Cora,0.1,3,s,30,0.004999995231628418
Cora,0.1,3,s,50,-0.04500001668930054
Cora,0.1,3,s,75,-0.04400002956390381
Cora,0.1,3,s,100,-0.046000003814697266
Cora,0.1,3,d,2,-0.10300004482269287
Cora,0.1,3,d,5,-0.029000043869018555
Cora,0.1,3,d,10,-0.1640000343322754
Cora,0.1,3,d,15,-0.17500001192092896
Cora,0.1,3,d,20,-0.6230000406503677
Cora,0.1,3,d,30,-0.6340000405907631
Cora,0.1,3,d,50,-0.6340000405907631
Cora,0.1,3,d,75,-0.737000048160553
Cora,0.1,3,d,100,-0.6340000405907631
Cora,0.1,3,p,2,-0.07100003957748413
Cora,0.1,3,p,5,-0.15700000524520874
Cora,0.1,3,p,10,-0.281000018119812
Cora,0.1,3,p,15,-0.19900000095367432
Cora,0.1,3,p,20,-0.5960000455379486
Cora,0.1,3,p,30,-0.737000048160553
Cora,0.1,3,p,50,-0.737000048160553
Cora,0.1,3,p,75,-0.737000048160553
Cora,0.1,3,p,100,-0.6340000405907631
Cora,0.1,3,u,0,-0.0020000338554382324
Cora,0.1,4,s,2,0.027000010013580322
Cora,0.1,4,s,5,-0.0040000081062316895
Cora,0.1,4,s,10,-0.0009999871253967285
Cora,0.1,4,s,15,0.02899998426437378
Cora,0.1,4,s,20,0.018000006675720215
Cora,0.1,4,s,30,0.019999980926513672
Cora,0.1,4,s,50,-0.0559999942779541
Cora,0.1,4,s,75,-0.041999995708465576
Cora,0.1,4,s,100,-0.0350000262260437
Cora,0.1,4,d,2,-0.022000014781951904
Cora,0.1,4,d,5,-0.1850000023841858
Cora,0.1,4,d,10,-0.5680000334978104
Cora,0.1,4,d,15,-0.6220000311732292
Cora,0.1,4,d,20,-0.5460000336170197
Cora,0.1,4,d,30,-0.6680000349879265
Cora,0.1,4,d,50,-0.6680000349879265
Cora,0.1,4,d,75,-0.7330000400543213
Cora,0.1,4,d,100,-0.7330000400543213
Cora,0.1,4,p,2,-0.13899999856948853
Cora,0.1,4,p,5,-0.15900003910064697
Cora,0.1,4,p,10,-0.49800002574920654
Cora,0.1,4,p,15,-0.5250000357627869
Cora,0.1,4,p,20,-0.6680000349879265
Cora,0.1,4,p,30,-0.7330000400543213
Cora,0.1,4,p,50,-0.7330000400543213
Cora,0.1,4,p,75,-0.7330000400543213
Cora,0.1,4,p,100,-0.7330000400543213
Cora,0.1,4,u,0,0.012000024318695068
Cora,0.1,5,s,2,-0.050999999046325684
Cora,0.1,5,s,5,-0.0559999942779541
Cora,0.1,5,s,10,-0.03799998760223389
Cora,0.1,5,s,15,-0.050999999046325684
Cora,0.1,5,s,20,-0.02899998426437378
Cora,0.1,5,s,30,-0.022000014781951904
Cora,0.1,5,s,50,-0.07400000095367432
Cora,0.1,5,s,75,-0.02499997615814209
Cora,0.1,5,s,100,-0.06400001049041748
Cora,0.1,5,d,2,-0.026000022888183594
Cora,0.1,5,d,5,-0.23100000619888306
Cora,0.1,5,d,10,-0.5140000134706497
Cora,0.1,5,d,15,-0.609000027179718
Cora,0.1,5,d,20,-0.6700000241398811
Cora,0.1,5,d,30,-0.6700000241398811
Cora,0.1,5,d,50,-0.6700000241398811
Cora,0.1,5,d,75,-0.6700000241398811
Cora,0.1,5,d,100,-0.6700000241398811
Cora,0.1,5,p,2,-0.008000016212463379
Cora,0.1,5,p,5,-0.2239999771118164
Cora,0.1,5,p,10,-0.5070000141859055
Cora,0.1,5,p,15,-0.6700000241398811
Cora,0.1,5,p,20,-0.6700000241398811
Cora,0.1,5,p,30,-0.6700000241398811
Cora,0.1,5,p,50,-0.6700000241398811
Cora,0.1,5,p,75,-0.6700000241398811
Cora,0.1,5,p,100,-0.6700000241398811
Cora,0.1,5,u,0,-0.013000011444091797
Cora,0.1,6,s,2,-0.0209999680519104
Cora,0.1,6,s,5,-0.03299999237060547
Cora,0.1,6,s,10,0.0020000338554382324
Cora,0.1,6,s,15,-0.010999977588653564
Cora,0.1,6,s,20,-0.02199995517730713
Cora,0.1,6,s,30,-0.0339999794960022
Cora,0.1,6,s,50,0.0
Cora,0.1,6,s,75,-0.10199999809265137
Cora,0.1,6,s,100,-0.014999985694885254
Cora,0.1,6,d,2,-0.046000003814697266
Cora,0.1,6,d,5,-0.22600001096725464
Cora,0.1,6,d,10,-0.6790000051259995
Cora,0.1,6,d,15,-0.6800000071525574
Cora,0.1,6,d,20,-0.6770000085234642
Cora,0.1,6,d,30,-0.6760000064969063
Cora,0.1,6,d,50,-0.6760000064969063
Cora,0.1,6,d,75,-0.6760000064969063
Cora,0.1,6,d,100,-0.6760000064969063
Cora,0.1,6,p,2,-0.015999972820281982
Cora,0.1,6,p,5,-0.23399996757507324
Cora,0.1,6,p,10,-0.6630000025033951
Cora,0.1,6,p,15,-0.6800000071525574
Cora,0.1,6,p,20,-0.6760000064969063
Cora,0.1,6,p,30,-0.6760000064969063
Cora,0.1,6,p,50,-0.6760000064969063
Cora,0.1,6,p,75,-0.6760000064969063
Cora,0.1,6,p,100,-0.6760000064969063
Cora,0.1,6,u,0,0.010000050067901611
Cora,0.1,7,s,2,0.03700000047683716
Cora,0.1,7,s,5,0.02799999713897705
Cora,0.1,7,s,10,0.015999972820281982
Cora,0.1,7,s,15,0.019999980926513672
Cora,0.1,7,s,20,0.017000019550323486
Cora,0.1,7,s,30,0.014999985694885254
Cora,0.1,7,s,50,-0.013999998569488525
Cora,0.1,7,s,75,0.0
Cora,0.1,7,s,100,-0.001999974250793457
Cora,0.1,7,d,2,0.023000001907348633
Cora,0.1,7,d,5,-0.03299999237060547
Cora,0.1,7,d,10,-0.25300002098083496
Cora,0.1,7,d,15,-0.5300000309944153
Cora,0.1,7,d,20,-0.5870000272989273
Cora,0.1,7,d,30,-0.5890000313520432
Cora,0.1,7,d,50,-0.5890000313520432
Cora,0.1,7,d,75,-0.5890000313520432
Cora,0.1,7,d,100,-0.5890000313520432
Cora,0.1,7,p,2,0.013000011444091797
Cora,0.1,7,p,5,-0.010999977588653564
Cora,0.1,7,p,10,-0.20899999141693115
Cora,0.1,7,p,15,-0.5560000240802765
Cora,0.1,7,p,20,-0.5830000340938568
Cora,0.1,7,p,30,-0.5890000313520432
Cora,0.1,7,p,50,-0.5890000313520432
Cora,0.1,7,p,75,-0.5890000313520432
Cora,0.1,7,p,100,-0.5890000313520432
Cora,0.1,7,u,0,0.021000027656555176
Cora,0.1,8,s,2,0.035999953746795654
Cora,0.1,8,s,5,0.0009999871253967285
Cora,0.1,8,s,10,0.018999993801116943
Cora,0.1,8,s,15,0.04399996995925903
Cora,0.1,8,s,20,0.0
Cora,0.1,8,s,30,-0.009000003337860107
Cora,0.1,8,s,50,-0.026000022888183594
Cora,0.1,8,s,75,-0.03600001335144043
Cora,0.1,8,s,100,-0.012000024318695068
Cora,0.1,8,d,2,0.0029999613761901855
Cora,0.1,8,d,5,-0.07600003480911255
Cora,0.1,8,d,10,-0.3550000488758087
Cora,0.1,8,d,15,-0.437000036239624
Cora,0.1,8,d,20,-0.6460000574588776
Cora,0.1,8,d,30,-0.6540000587701797
Cora,0.1,8,d,50,-0.6540000587701797
Cora,0.1,8,d,75,-0.7450000643730164
Cora,0.1,8,d,100,-0.7450000643730164
Cora,0.1,8,p,2,-0.0020000338554382324
Cora,0.1,8,p,5,-0.010000050067901611
Cora,0.1,8,p,10,-0.34400004148483276
Cora,0.1,8,p,15,-0.5400000512599945
Cora,0.1,8,p,20,-0.6540000587701797
Cora,0.1,8,p,30,-0.7450000643730164
Cora,0.1,8,p,50,-0.7450000643730164
Cora,0.1,8,p,75,-0.7450000643730164
Cora,0.1,8,p,100,-0.7450000643730164
Cora,0.1,8,u,0,0.0
Cora,0.1,9,s,2,0.0
Cora,0.1,9,s,5,-0.013999998569488525
Cora,0.1,9,s,10,-0.0040000081062316895
Cora,0.1,9,s,15,0.0040000081062316895
Cora,0.1,9,s,20,-0.04100000858306885
Cora,0.1,9,s,30,-0.03200000524520874
Cora,0.1,9,s,50,-0.019999980926513672
Cora,0.1,9,s,75,-0.05199998617172241
Cora,0.1,9,s,100,-0.039999961853027344
Cora,0.1,9,d,2,0.03100001811981201
Cora,0.1,9,d,5,-0.06699997186660767
Cora,0.1,9,d,10,-0.43700000643730164
Cora,0.1,9,d,15,-0.6130000129342079
Cora,0.1,9,d,20,-0.6130000129342079
Cora,0.1,9,d,30,-0.6130000129342079
Cora,0.1,9,d,50,-0.6130000129342079
Cora,0.1,9,d,75,-0.6130000129342079
Cora,0.1,9,d,100,-0.6130000129342079
Cora,0.1,9,p,2,-0.019999980926513672
Cora,0.1,9,p,5,-0.1499999761581421
Cora,0.1,9,p,10,-0.39000001549720764
Cora,0.1,9,p,15,-0.6130000129342079
Cora,0.1,9,p,20,-0.6130000129342079
Cora,0.1,9,p,30,-0.6130000129342079
Cora,0.1,9,p,50,-0.6130000129342079
Cora,0.1,9,p,75,-0.6130000129342079
Cora,0.1,9,p,100,-0.6130000129342079
Cora,0.1,9,u,0,0.022000014781951904
Cora,0.2,0,s,2,0.06599998474121094
Cora,0.2,0,s,5,0.07499998807907104
Cora,0.2,0,s,10,0.06300002336502075
Cora,0.2,0,s,15,-0.06300002336502075
