dataset,noise_rate,seed,strategy,k,gain
PubMed,0.1,0,s,2,-0.027000010013580322
PubMed,0.1,0,s,5,-0.02499997615814209
PubMed,0.1,0,s,10,-0.018000006675720215
PubMed,0.1,0,s,15,-0.018000006675720215
PubMed,0.1,0,s,20,-0.018000006675720215
PubMed,0.1,0,s,30,-0.027000010013580322
PubMed,0.1,0,s,50,-0.02499997615814209
PubMed,0.1,0,s,75,-0.018000006675720215
PubMed,0.1,0,s,100,-0.018000006675720215
PubMed,0.1,0,d,2,0.001999974250793457
PubMed,0.1,0,d,5,0.0059999823570251465
PubMed,0.1,0,d,10,0.004999995231628418
PubMed,0.1,0,d,15,-0.013999998569488525
PubMed,0.1,0,d,20,-0.029999971389770508
PubMed,0.1,0,d,30,-0.05900001525878906
PubMed,0.1,0,d,50,-0.05699998140335083
PubMed,0.1,0,d,75,-0.07599997520446777
PubMed,0.1,0,d,100,-0.050999999046325684
PubMed,0.1,0,p,2,-0.021000027656555176
PubMed,0.1,0,p,5,0.004999995231628418
PubMed,0.1,0,p,10,0.004999995231628418
PubMed,0.1,0,p,15,-0.012000024318695068
PubMed,0.1,0,p,20,-0.04500001668930054
PubMed,0.1,0,p,30,-0.046999990940093994
PubMed,0.1,0,p,50,-0.04100000858306885
PubMed,0.1,0,p,75,-0.07200002670288086
PubMed,0.1,0,p,100,-0.07400000095367432
PubMed,0.1,0,u,0,-0.02499997615814209
PubMed,0.1,1,s,2,0.01100003719329834
PubMed,0.1,1,s,5,-0.008999943733215332
PubMed,0.1,1,s,10,0.003000020980834961
PubMed,0.1,1,s,15,-0.0059999823570251465
PubMed,0.1,1,s,20,0.013000011444091797
PubMed,0.1,1,s,30,0.009000003337860107
PubMed,0.1,1,s,50,-0.0059999823570251465
PubMed,0.1,1,s,75,-0.004999995231628418
PubMed,0.1,1,s,100,0.013000011444091797
PubMed,0.1,1,d,2,0.0040000081062316895
PubMed,0.1,1,d,5,0.024000048637390137
PubMed,0.1,1,d,10,0.013000011444091797
PubMed,0.1,1,d,15,-0.05899995565414429
PubMed,0.1,1,d,20,-0.06899994611740112
PubMed,0.1,1,d,30,-0.08599996566772461
PubMed,0.1,1,d,50,-0.06199997663497925
PubMed,0.1,1,d,75,-0.16699999570846558
PubMed,0.1,1,d,100,-0.16899996995925903
PubMed,0.1,1,p,2,-0.013999998569488525
PubMed,0.1,1,p,5,0.018000006675720215
PubMed,0.1,1,p,10,0.018000006675720215
PubMed,0.1,1,p,15,0.013999998569488525
PubMed,0.1,1,p,20,0.00700002908706665
PubMed,0.1,1,p,30,-0.0549999475479126
PubMed,0.1,1,p,50,-0.1239999532699585
PubMed,0.1,1,p,75,-0.17299997806549072
PubMed,0.1,1,p,100,-0.17899996042251587
PubMed,0.1,1,u,0,-0.011999964714050293
PubMed,0.1,2,s,2,0.0059999823570251465
PubMed,0.1,2,s,5,0.0
PubMed,0.1,2,s,10,0.0209999680519104
PubMed,0.1,2,s,15,0.0209999680519104
PubMed,0.1,2,s,20,0.006999969482421875
PubMed,0.1,2,s,30,0.0209999680519104
PubMed,0.1,2,s,50,-0.010999977588653564
PubMed,0.1,2,s,75,0.0209999680519104
PubMed,0.1,2,s,100,0.0059999823570251465
PubMed,0.1,2,d,2,0.012000024318695068
PubMed,0.1,2,d,5,0.023000001907348633
PubMed,0.1,2,d,10,-0.0059999823570251465
PubMed,0.1,2,d,15,0.009000003337860107
PubMed,0.1,2,d,20,-0.022000014781951904
PubMed,0.1,2,d,30,-0.026000022888183594
PubMed,0.1,2,d,50,-0.09299999475479126
PubMed,0.1,2,d,75,-0.03200000524520874
PubMed,0.1,2,d,100,-0.05699998140335083
PubMed,0.1,2,p,2,0.012000024318695068
PubMed,0.1,2,p,5,0.012000024318695068
PubMed,0.1,2,p,10,0.006999969482421875
PubMed,0.1,2,p,15,0.010999977588653564
PubMed,0.1,2,p,20,-0.03200000524520874
PubMed,0.1,2,p,30,-0.046000003814697266
PubMed,0.1,2,p,50,-0.046000003814697266
PubMed,0.1,2,p,75,-0.05900001525878906
PubMed,0.1,2,p,100,-0.04500001668930054
PubMed,0.1,2,u,0,0.006999969482421875
PubMed,0.1,3,s,2,0.014999985694885254
PubMed,0.1,3,s,5,0.014999985694885254
PubMed,0.1,3,s,10,0.003000020980834961
PubMed,0.1,3,s,15,0.018000006675720215
PubMed,0.1,3,s,20,0.018000006675720215
PubMed,0.1,3,s,30,0.013999998569488525
PubMed,0.1,3,s,50,0.019999980926513672
PubMed,0.1,3,s,75,0.016000032424926758
PubMed,0.1,3,s,100,0.018000006675720215
PubMed,0.1,3,d,2,-0.0040000081062316895
PubMed,0.1,3,d,5,0.03200000524520874
PubMed,0.1,3,d,10,0.03200000524520874
PubMed,0.1,3,d,15,-0.006999969482421875
PubMed,0.1,3,d,20,0.0059999823570251465
PubMed,0.1,3,d,30,-0.015999972820281982
PubMed,0.1,3,d,50,-0.04399996995925903
PubMed,0.1,3,d,75,-0.06199997663497925
PubMed,0.1,3,d,100,-0.078000009059906
PubMed,0.1,3,p,2,0.009999990463256836
PubMed,0.1,3,p,5,0.025000035762786865
PubMed,0.1,3,p,10,0.022000014781951904
PubMed,0.1,3,p,15,0.027000010013580322
PubMed,0.1,3,p,20,-0.026000022888183594
PubMed,0.1,3,p,30,0.014999985694885254
PubMed,0.1,3,p,50,-0.009999990463256836
PubMed,0.1,3,p,75,-0.10000002384185791
PubMed,0.1,3,p,100,-0.10799998044967651
PubMed,0.1,3,u,0,0.014999985694885254
PubMed,0.1,4,s,2,-0.012000024318695068
PubMed,0.1,4,s,5,-0.012000024318695068
PubMed,0.1,4,s,10,-0.019999980926513672
PubMed,0.1,4,s,15,-0.013999998569488525
PubMed,0.1,4,s,20,-0.013999998569488525
PubMed,0.1,4,s,30,0.003000020980834961
PubMed,0.1,4,s,50,-0.012000024318695068
PubMed,0.1,4,s,75,-0.017000019550323486
PubMed,0.1,4,s,100,0.013000011444091797
PubMed,0.1,4,d,2,0.003000020980834961
PubMed,0.1,4,d,5,0.008000016212463379
PubMed,0.1,4,d,10,0.017000019550323486
PubMed,0.1,4,d,15,0.004999995231628418
PubMed,0.1,4,d,20,-0.027000010013580322
PubMed,0.1,4,d,30,-0.0480000376701355
PubMed,0.1,4,d,50,-0.05199998617172241
PubMed,0.1,4,d,75,-0.09600001573562622
PubMed,0.1,4,d,100,-0.06999999284744263
PubMed,0.1,4,p,2,0.003000020980834961
PubMed,0.1,4,p,5,0.013000011444091797
PubMed,0.1,4,p,10,0.0040000081062316895
PubMed,0.1,4,p,15,0.009000003337860107
PubMed,0.1,4,p,20,0.009999990463256836
PubMed,0.1,4,p,30,-0.0480000376701355
PubMed,0.1,4,p,50,-0.07999998331069946
PubMed,0.1,4,p,75,-0.030000030994415283
PubMed,0.1,4,p,100,-0.07200002670288086
PubMed,0.1,4,u,0,-0.012000024318695068
PubMed,0.1,5,s,2,-0.006999969482421875
PubMed,0.1,5,s,5,-0.001999974250793457
PubMed,0.1,5,s,10,-0.02599996328353882
PubMed,0.1,5,s,15,-0.0029999613761901855
PubMed,0.1,5,s,20,-0.0209999680519104
PubMed,0.1,5,s,30,-0.01699995994567871
PubMed,0.1,5,s,50,-0.0009999871253967285
PubMed,0.1,5,s,75,0.004999995231628418
PubMed,0.1,5,s,100,-0.004999995231628418
PubMed,0.1,5,d,2,0.0
PubMed,0.1,5,d,5,0.009999990463256836
PubMed,0.1,5,d,10,-0.012999951839447021
PubMed,0.1,5,d,15,-0.013999998569488525
PubMed,0.1,5,d,20,0.008000016212463379
PubMed,0.1,5,d,30,0.001000046730041504
PubMed,0.1,5,d,50,-0.018999993801116943
PubMed,0.1,5,d,75,-0.05500000715255737
PubMed,0.1,5,d,100,-0.04499995708465576
PubMed,0.1,5,p,2,-0.0009999871253967285
PubMed,0.1,5,p,5,0.01500004529953003
PubMed,0.1,5,p,10,0.020000040531158447
PubMed,0.1,5,p,15,0.009999990463256836
PubMed,0.1,5,p,20,0.016000032424926758
PubMed,0.1,5,p,30,-0.039999961853027344
PubMed,0.1,5,p,50,-0.034999966621398926
PubMed,0.1,5,p,75,-0.04799997806549072
PubMed,0.1,5,p,100,-0.05899995565414429
PubMed,0.1,5,u,0,-0.011999964714050293
PubMed,0.1,6,s,2,-0.021000027656555176
PubMed,0.1,6,s,5,-0.03900003433227539
PubMed,0.1,6,s,10,-0.03100001811981201
PubMed,0.1,6,s,15,-0.05900001525878906
PubMed,0.1,6,s,20,-0.03900003433227539
PubMed,0.1,6,s,30,-0.04300004243850708
PubMed,0.1,6,s,50,-0.057000041007995605
PubMed,0.1,6,s,75,-0.027000010013580322
PubMed,0.1,6,s,100,-0.04100000858306885
PubMed,0.1,6,d,2,-0.018000006675720215
PubMed,0.1,6,d,5,-0.03600001335144043
PubMed,0.1,6,d,10,-0.06600004434585571
PubMed,0.1,6,d,15,-0.054000020027160645
PubMed,0.1,6,d,20,-0.05900001525878906
PubMed,0.1,6,d,30,-0.10000002384185791
PubMed,0.1,6,d,50,-0.10700005292892456
PubMed,0.1,6,d,75,-0.13600003719329834
PubMed,0.1,6,d,100,-0.15400004386901855
PubMed,0.1,6,p,2,-0.021000027656555176
PubMed,0.1,6,p,5,-0.04000002145767212
PubMed,0.1,6,p,10,-0.0350000262260437
PubMed,0.1,6,p,15,-0.078000009059906
PubMed,0.1,6,p,20,-0.08799999952316284
PubMed,0.1,6,p,30,-0.08100003004074097
PubMed,0.1,6,p,50,-0.11000001430511475
PubMed,0.1,6,p,75,-0.1510000228881836
PubMed,0.1,6,p,100,-0.14300000667572021
PubMed,0.1,6,u,0,-0.0480000376701355
PubMed,0.1,7,s,2,-0.022000014781951904
PubMed,0.1,7,s,5,-0.022000014781951904
PubMed,0.1,7,s,10,-0.024000048637390137
PubMed,0.1,7,s,15,-0.00700002908706665
PubMed,0.1,7,s,20,-0.022000014781951904
PubMed,0.1,7,s,30,-0.022000014781951904
PubMed,0.1,7,s,50,-0.012000024318695068
PubMed,0.1,7,s,75,-0.01100003719329834
PubMed,0.1,7,s,100,-0.01100003719329834
PubMed,0.1,7,d,2,-0.009000003337860107
PubMed,0.1,7,d,5,-0.025000035762786865
PubMed,0.1,7,d,10,-0.027000010013580322
PubMed,0.1,7,d,15,-0.03900003433227539
PubMed,0.1,7,d,20,-0.06300002336502075
PubMed,0.1,7,d,30,-0.07200002670288086
PubMed,0.1,7,d,50,-0.0690000057220459
PubMed,0.1,7,d,75,-0.09300005435943604
PubMed,0.1,7,d,100,-0.07500004768371582
PubMed,0.1,7,p,2,-0.04300004243850708
PubMed,0.1,7,p,5,-0.0350000262260437
PubMed,0.1,7,p,10,-0.022000014781951904
PubMed,0.1,7,p,15,-0.06800001859664917
PubMed,0.1,7,p,20,-0.06300002336502075
PubMed,0.1,7,p,30,-0.07400006055831909
PubMed,0.1,7,p,50,-0.06600004434585571
PubMed,0.1,7,p,75,-0.078000009059906
PubMed,0.1,7,p,100,-0.06700003147125244
PubMed,0.1,7,u,0,-0.020000040531158447
PubMed,0.1,8,s,2,0.02499997615814209
PubMed,0.1,8,s,5,0.011999964714050293
PubMed,0.1,8,s,10,0.02499997615814209
PubMed,0.1,8,s,15,0.02499997615814209
PubMed,0.1,8,s,20,0.02499997615814209
PubMed,0.1,8,s,30,0.02499997615814209
PubMed,0.1,8,s,50,0.018999993801116943
PubMed,0.1,8,s,75,0.02499997615814209
PubMed,0.1,8,s,100,0.02499997615814209
PubMed,0.1,8,d,2,0.03299999237060547
PubMed,0.1,8,d,5,0.0059999823570251465
PubMed,0.1,8,d,10,0.0009999871253967285
PubMed,0.1,8,d,15,-0.0040000081062316895
PubMed,0.1,8,d,20,-0.04100000858306885
PubMed,0.1,8,d,30,-0.029000043869018555
PubMed,0.1,8,d,50,-0.10600000619888306
PubMed,0.1,8,d,75,-0.1690000295639038
PubMed,0.1,8,d,100,-0.21400004625320435
PubMed,0.1,8,p,2,0.03299999237060547
PubMed,0.1,8,p,5,0.003999948501586914
PubMed,0.1,8,p,10,0.019999980926513672
